Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
NKG,Nuveen Georgia Quality Municipal Income Fund ,10.82,$113.03M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nkg
JGH,Nuveen Global High Income Fund,13.28,$308.52M,2014,n/a,n/a,https://www.nasdaq.com/symbol/jgh
JHY,Nuveen High Income 2020 Target Term Fund,9.56,$150.79M,2015,n/a,n/a,https://www.nasdaq.com/symbol/jhy
JHAA,Nuveen High Income 2023 Target Term Fund,10.099,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/jhaa
JHD,Nuveen High Income December 2019 Target Term Fund,9.9,$267.93M,2016,n/a,n/a,https://www.nasdaq.com/symbol/jhd
JHB,Nuveen High Income November 2021 Target Term Fund,9.18,$512.9M,2016,n/a,n/a,https://www.nasdaq.com/symbol/jhb
NXC,Nuveen Insured California Select Tax-Free Income Portfolio,13.14,$83.44M,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxc
NXN,Nuveen Insured New York Select Tax-Free Income Portfolio,12.6348,$49.59M,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxn
NID,Nuveen Intermediate Duration Municipal Term Fund,12.14,$569.48M,2012,n/a,n/a,https://www.nasdaq.com/symbol/nid
NMY,Nuveen Maryland Quality Municipal Income Fund,11.68,$270.5M,1993,n/a,n/a,https://www.nasdaq.com/symbol/nmy
NMT,Nuveen Massachusetts Municipal Income Fund,11.94,$111.32M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nmt
NUM,Nuveen Michigan Quality Municipal Income Fund,12.28,$249.79M,1991,n/a,n/a,https://www.nasdaq.com/symbol/num
NMS,Nuveen Minnesota Quality Municipal Income Fund,12.07,$69.91M,2014,n/a,n/a,https://www.nasdaq.com/symbol/nms
NOM,Nuveen Missouri Quality Municipal Income Fund,11.4,$26.73M,1993,n/a,n/a,https://www.nasdaq.com/symbol/nom
JLS,Nuveen Mortgage Opportunity Term Fund,22.63,$359.55M,2009,n/a,n/a,https://www.nasdaq.com/symbol/jls
JMM,Nuveen Multi-Market Income Fund,6.61,$62.55M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jmm
NHA,Nuveen Municipal 2021 Target Term Fund,9.2953,$80.15M,2016,n/a,n/a,https://www.nasdaq.com/symbol/nha
NZF,Nuveen Municipal Credit Income Fund,13.36,$1.9B,2007,n/a,n/a,https://www.nasdaq.com/symbol/nzf
